PTM Combination,Percentage_Abundance_kidney_3mo_1,Percentage_Abundance_kidney_3mo_2,Percentage_Abundance_kidney_3mo_3,Percentage_Abundance_kidney_3mo_4,Percentage_Abundance_kidney_5mo_1,Percentage_Abundance_kidney_5mo_2,Percentage_Abundance_kidney_5mo_3,Percentage_Abundance_kidney_5mo_4,Percentage_Abundance_kidney_10mo_1,Percentage_Abundance_kidney_10mo_2,Percentage_Abundance_kidney_10mo_3,Percentage_Abundance_kidney_10mo_4,Percentage_Abundance_kidney_18mo_1,Percentage_Abundance_kidney_18mo_2,Percentage_Abundance_kidney_24mo_1,Percentage_Abundance_kidney_24mo_2
K14acK18ac,0.0118999549465035,0.0160152029100517,0.0193776508129347,0.0130229971661525,0.0026314859510307,0.0011070146921721,0.0004013875770015,0.0003536871790753,0.0,0.0,0.0,0.0027109376862937,0.0,0.0,0.0,0.0173809630516483
K14acK18me1,0.0634898016142857,0.0380012553969007,0.0159901381812416,0.013221759331176,0.0546628981512442,0.0584787710287643,0.0249696903630211,0.0322619192475935,0.0521859855086717,0.0,0.0239242435086339,0.0070676757911307,0.0270774796502864,0.0,0.0228028661889685,0.0
K14acK18me2,0.002626430248013,0.0004113430890891,0.0010687168717961,0.001095818248886,0.0007822704096259,0.0,0.0004775772118986,0.0007479113072694,0.0,0.0,0.0,0.0010371577531915,0.0,0.0,0.0,0.0
K14acK18un,0.0981087574484641,0.0435970255349991,0.1080035913088104,0.1280531546442078,0.1444264735009961,0.0465500410175156,0.1306610889808231,0.1224418088533466,0.1044962211615568,0.0306390259391953,0.1161167230579119,0.0867262611841803,0.0405107810882014,0.051277567278733,0.0523423873798811,0.2205008611251604
K14acK23ac,0.0,0.0,0.0003276831282652,0.0002142732212284,0.0011324580747978,0.0001903864977866,0.0004013875770015,0.0003536871790753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K14acK23me1,0.0103499398990854,0.0037875906143406,0.0009173745610097,0.0047336219794891,0.0071723800927085,0.0007856787270511,0.0042514192169616,0.0025304340222661,0.0,0.0,0.0051167367890813,0.001024756022414,0.0,0.0,0.0,0.012142184889014
K14acK23me2,0.0073713170151194,0.0018621473238957,0.0054745501228504,0.0049324500088702,0.0166070551932108,0.0003679564339582,0.0019414143291252,0.0012811422411438,0.0,0.0,0.0,0.0041564955249665,0.0049917290375011,0.0,0.0,0.0074300055701032
K14acK23me3,0.0023559454098061,0.0037583472968021,0.0112013732594903,0.0034282892092082,0.0013247687524948,0.0021634319852459,0.0034554571971305,0.0048442803203567,0.0,0.0,0.0021325255579655,0.0,0.0,0.0,0.0,0.0
K14acK23un,0.1560477419332555,0.0886167416960021,0.1265191161031673,0.1420850949716266,0.176266465899685,0.1026283730944101,0.1464600658125255,0.1467957828244429,0.1566822066702285,0.0306390259391953,0.132791704219499,0.0923607808674158,0.0625965317009867,0.051277567278733,0.0751452535688496,0.2183096337176915
K14acK27ac,0.0,0.0,0.0002316968473474,0.0,0.0,0.0001524791216132,0.0001798197550114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
