PTM Combination,PTM1_abundance_liver_3mo_1,PTM1_abundance_liver_3mo_2,PTM1_abundance_liver_3mo_3,PTM1_abundance_liver_3mo_4,PTM1_abundance_liver_5mo_1,PTM1_abundance_liver_5mo_2,PTM1_abundance_liver_5mo_3,PTM1_abundance_liver_5mo_4,PTM1_abundance_liver_10mo_1,PTM1_abundance_liver_10mo_2,PTM1_abundance_liver_10mo_3,PTM1_abundance_liver_10mo_4,PTM1_abundance_liver_18mo_1,PTM1_abundance_liver_18mo_2,PTM1_abundance_liver_24mo_1,PTM1_abundance_liver_24mo_2
K14acK18ac,0.3211771019555403,0.1198527299924219,0.2397175548990652,0.2138713096794945,0.3521525364923528,0.1018884397962635,0.1804338242272169,0.1601675431223396,0.1954153427639446,0.1107313948391961,0.0813486859921694,0.1601955636494259,0.0303133662683866,0.2445361646829498,0.0373598641811755,0.1490023529554166
K14acK18me1,0.3211771019555403,0.1198527299924219,0.2397175548990652,0.2138713096794945,0.3521525364923528,0.1018884397962635,0.1804338242272169,0.1601675431223396,0.1954153427639446,0.1107313948391961,0.0813486859921694,0.1601955636494259,0.0303133662683866,0.2445361646829498,0.0373598641811755,0.1490023529554166
K14acK18me2,0.3211771019555403,0.1198527299924219,0.2397175548990652,0.2138713096794945,0.3521525364923528,0.1018884397962635,0.1804338242272169,0.1601675431223396,0.1954153427639446,0.1107313948391961,0.0813486859921694,0.1601955636494259,0.0303133662683866,0.2445361646829498,0.0373598641811755,0.1490023529554166
K14acK18un,0.3211771019555403,0.1198527299924219,0.2397175548990652,0.2138713096794945,0.3521525364923528,0.1018884397962635,0.1804338242272169,0.1601675431223396,0.1954153427639446,0.1107313948391961,0.0813486859921694,0.1601955636494259,0.0303133662683866,0.2445361646829498,0.0373598641811755,0.1490023529554166
K14acK23ac,0.3211771019555403,0.1198527299924219,0.2397175548990652,0.2138713096794945,0.3521525364923528,0.1018884397962635,0.1804338242272169,0.1601675431223396,0.1954153427639446,0.1107313948391961,0.0813486859921694,0.1601955636494259,0.0303133662683866,0.2445361646829498,0.0373598641811755,0.1490023529554166
K14acK23me1,0.3211771019555403,0.1198527299924219,0.2397175548990652,0.2138713096794945,0.3521525364923528,0.1018884397962635,0.1804338242272169,0.1601675431223396,0.1954153427639446,0.1107313948391961,0.0813486859921694,0.1601955636494259,0.0303133662683866,0.2445361646829498,0.0373598641811755,0.1490023529554166
K14acK23me2,0.3211771019555403,0.1198527299924219,0.2397175548990652,0.2138713096794945,0.3521525364923528,0.1018884397962635,0.1804338242272169,0.1601675431223396,0.1954153427639446,0.1107313948391961,0.0813486859921694,0.1601955636494259,0.0303133662683866,0.2445361646829498,0.0373598641811755,0.1490023529554166
K14acK23me3,0.3211771019555403,0.1198527299924219,0.2397175548990652,0.2138713096794945,0.3521525364923528,0.1018884397962635,0.1804338242272169,0.1601675431223396,0.1954153427639446,0.1107313948391961,0.0813486859921694,0.1601955636494259,0.0303133662683866,0.2445361646829498,0.0373598641811755,0.1490023529554166
K14acK23un,0.3211771019555403,0.1198527299924219,0.2397175548990652,0.2138713096794945,0.3521525364923528,0.1018884397962635,0.1804338242272169,0.1601675431223396,0.1954153427639446,0.1107313948391961,0.0813486859921694,0.1601955636494259,0.0303133662683866,0.2445361646829498,0.0373598641811755,0.1490023529554166
K14acK27ac,0.3211771019555403,0.1198527299924219,0.2397175548990652,0.2138713096794945,0.3521525364923528,0.1018884397962635,0.1804338242272169,0.1601675431223396,0.1954153427639446,0.1107313948391961,0.0813486859921694,0.1601955636494259,0.0303133662683866,0.2445361646829498,0.0373598641811755,0.1490023529554166
K14acK27me1,0.3211771019555403,0.1198527299924219,0.2397175548990652,0.2138713096794945,0.3521525364923528,0.1018884397962635,0.1804338242272169,0.1601675431223396,0.1954153427639446,0.1107313948391961,0.0813486859921694,0.1601955636494259,0.0303133662683866,0.2445361646829498,0.0373598641811755,0.1490023529554166
K14acK27me2,0.3211771019555403,0.1198527299924219,0.2397175548990652,0.2138713096794945,0.3521525364923528,0.1018884397962635,0.1804338242272169,0.1601675431223396,0.1954153427639446,0.1107313948391961,0.0813486859921694,0.1601955636494259,0.0303133662683866,0.2445361646829498,0.0373598641811755,0.1490023529554166
